time,close,RSI,RSI_80_fcst,RSI_40_fcst,RSI_60_fcst,RSI_20_fcst,EMA_8,EMA_24,EMA_8_above,EMA_24_above,RSI_fcst,target
2023-07-20T15:00:00+03:00,2926.58,0.34019077,3043.2615,2919.546,2950.3203,2854.8083,2930.8218,2927.7825,0,0,2,2924.97
2023-07-20T16:00:00+03:00,2927.77,0.34293523,3039.119,2918.879,2949.1165,2853.7302,2930.5776,2927.7798,0,0,2,2926.58
2023-07-20T17:00:00+03:00,2919.97,0.34581685,3040.774,2918.4265,2948.7847,2854.483,2929.729,2926.0442,0,0,2,2927.77
2023-07-20T18:00:00+03:00,2917.48,0.3489205,3041.2566,2918.077,2948.1843,2856.4294,2928.749,2924.141,0,0,1,2919.97
2023-07-21T10:00:00+03:00,2904.54,0.35264605,3050.6802,2916.332,2948.7314,2858.8567,2926.8125,2919.7854,0,0,1,2917.48
2023-07-21T11:00:00+03:00,2907.25,0.3567459,3053.6475,2914.905,2948.1113,2859.1658,2925.2473,2916.9998,0,0,1,2904.54
2023-07-21T12:00:00+03:00,2909.39,0.36093372,3052.1265,2913.786,2946.7542,2858.5757,2923.9788,2915.3086,0,0,1,2907.25
2023-07-21T13:00:00+03:00,2904.32,0.36536288,3052.3306,2912.2683,2945.5913,2859.2031,2922.406,2912.8667,0,0,1,2909.39
2023-07-21T14:00:00+03:00,2916.22,0.36943197,3049.1216,2910.2231,2944.0896,2850.1836,2921.9111,2913.6118,0,1,2,2904.32
2023-07-21T15:00:00+03:00,2915.24,0.3731899,3044.5698,2908.936,2942.5215,2845.4749,2921.3774,2913.9736,0,1,2,2916.22
2023-07-21T16:00:00+03:00,2921.18,0.3764094,3038.4246,2907.4358,2940.9377,2838.6636,2921.3618,2915.5752,0,1,2,2915.24
2023-07-21T17:00:00+03:00,2919.71,0.37926638,3032.7197,2906.7,2939.576,2835.8674,2921.2295,2916.494,0,1,2,2921.18
2023-07-21T18:00:00+03:00,2923.54,0.38166237,3026.1597,2906.015,2938.2656,2832.573,2921.4143,2918.0598,1,1,2,2919.71
2023-07-24T10:00:00+03:00,2945.08,0.38277087,3019.7092,2903.1968,2938.4087,2813.8416,2923.3076,2924.0642,1,1,3,2923.54
2023-07-24T11:00:00+03:00,2940.16,0.38306704,3018.0273,2902.1353,2938.5586,2803.9434,2924.6558,2927.641,1,1,3,2945.08
2023-07-24T12:00:00+03:00,2933.32,0.38316652,3021.3357,2902.1519,2939.5427,2800.1836,2925.3489,2928.903,1,1,2,2940.16
2023-07-24T13:00:00+03:00,2937.42,0.38304496,3021.6265,2902.384,2940.178,2797.2278,2926.3147,2930.7957,1,1,2,2933.32
